DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
20210115,080000,38660.5400000,38791.8800000,38332.8700000,38407.9700000,493
20210115,090000,38407.9300000,38859.6500000,37800.0000000,37800.0100000,925
20210115,100000,37800.0100000,38088.1800000,37555.0000000,38018.2100000,1028
20210115,110000,38019.1400000,38469.3600000,37692.1600000,38444.2200000,558
20210115,120000,38448.0900000,38640.0100000,38132.6700000,38256.8200000,365
20210115,130000,38256.8100000,38683.5300000,38001.0100000,38663.2000000,406
20210115,140000,38652.5500000,38740.0000000,38305.0000000,38425.0900000,171
20210115,150000,38421.4600000,38538.2400000,37911.2800000,38078.2800000,255
20210115,160000,38085.9300000,38171.4600000,37146.4600000,37756.2600000,895
20210115,170000,37751.0300000,37881.4300000,37236.8300000,37632.6400000,468
20210115,180000,37632.6400000,37740.4600000,36500.0000000,36885.3500000,1249
20210115,190000,36888.0300000,36941.3700000,35136.2800000,35537.9400000,1988
20210115,200000,35538.4300000,36392.7100000,34298.9300000,36172.5500000,3590
20210115,210000,36172.1400000,36172.1400000,35350.6400000,35959.3300000,1031
20210115,220000,35951.0500000,36423.7400000,34820.5600000,35424.5500000,1507
20210115,230000,35430.0900000,35919.0000000,35126.6400000,35197.4400000,774
20210116,000000,35197.4300000,36000.0000000,34800.0000000,35618.7800000,1335
20210116,010000,35618.7800000,36456.5900000,35562.7200000,36268.8100000,1153
20210116,020000,36268.7900000,36900.0000000,35973.8200000,36602.1900000,903
20210116,030000,36595.8200000,36896.8200000,36388.0000000,36754.6700000,451
20210116,040000,36754.6000000,37450.0000000,36744.2400000,37185.1900000,723
20210116,050000,37178.5300000,37678.2300000,36860.0000000,37023.4700000,706
20210116,060000,37010.1400000,37234.4100000,36014.7600000,36191.9600000,1086
20210116,070000,36188.7100000,36634.7000000,35974.1900000,36539.7600000,723
20210116,080000,36539.6900000,36692.0100000,36133.7500000,36561.6000000,575
